2016-01-12 11:58:33,253 [Thread-6:14644] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'hpy5asln110gmoet68qxyf1pygrmgl75' AND `django_session`.`expire_date` > '2016-01-12 03:58:33'); args=('hpy5asln110gmoet68qxyf1pygrmgl75', u'2016-01-12 03:58:33')
2016-01-12 11:58:33,256 [Thread-6:14644] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_app_user`.`id`, `blog_app_user`.`password`, `blog_app_user`.`last_login`, `blog_app_user`.`is_superuser`, `blog_app_user`.`username`, `blog_app_user`.`first_name`, `blog_app_user`.`last_name`, `blog_app_user`.`email`, `blog_app_user`.`is_staff`, `blog_app_user`.`is_active`, `blog_app_user`.`date_joined`, `blog_app_user`.`avatar`, `blog_app_user`.`qq`, `blog_app_user`.`mobile` FROM `blog_app_user` WHERE `blog_app_user`.`id` = 1; args=(1,)
2016-01-12 12:02:09,450 [Thread-11:17524] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 12:02:09,450 [Thread-11:17524] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `blog_app_article`; args=('*',)
2016-01-12 12:02:09,451 [Thread-11:17524] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `blog_app_article`; args=('*',)
2016-01-12 12:02:09,453 [Thread-11:17524] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `blog_app_article` WHERE `blog_app_article`.`is_recommend` = 1; args=('*', True)
2016-01-12 12:02:09,459 [Thread-11:17524] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_app_article`.`id`, `blog_app_article`.`title`, `blog_app_article`.`desc`, `blog_app_article`.`content`, `blog_app_article`.`click_count`, `blog_app_article`.`is_recommend`, `blog_app_article`.`date_publish`, `blog_app_article`.`user_id`, `blog_app_article`.`category_id` FROM `blog_app_article` ORDER BY `blog_app_article`.`click_count` DESC LIMIT 5; args=()
2016-01-12 12:02:09,460 [Thread-11:17524] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_app_tag`.`id`, `blog_app_tag`.`name` FROM `blog_app_tag` ORDER BY `blog_app_tag`.`id` ASC LIMIT 10; args=()
2016-01-12 12:02:09,463 [Thread-11:17524] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_app_links`.`id`, `blog_app_links`.`title`, `blog_app_links`.`description`, `blog_app_links`.`callback_url`, `blog_app_links`.`date_publish`, `blog_app_links`.`index` FROM `blog_app_links` ORDER BY `blog_app_links`.`index` ASC, `blog_app_links`.`id` ASC LIMIT 10; args=()
2016-01-12 16:58:31,573 [Dummy-1:7044] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
